"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID","lifeStage"
31.769508,-106.505662,"Papilionidae","Papilio multicaudata",2022,4,11,"iNaturalist research-grade observations","3759292724",NA
31.769492,-106.506358,"Papilionidae","Papilio multicaudata",2022,4,21,"iNaturalist research-grade observations","3759780797",NA
31.768937,-106.505762,"Papilionidae","Papilio multicaudata",2022,4,6,"iNaturalist research-grade observations","3759921169",NA
31.769288,-106.506346,"Papilionidae","Papilio multicaudata",2022,4,19,"iNaturalist research-grade observations","3760335512",NA
31.769464,-106.5064,"Papilionidae","Papilio multicaudata",2022,4,26,"iNaturalist research-grade observations","3764517052",NA
31.769718,-106.505563,"Papilionidae","Papilio rumiko",2021,9,13,"iNaturalist research-grade observations","3383985857",NA
31.769516,-106.505791,"Papilionidae","Papilio rumiko",2021,9,16,"iNaturalist research-grade observations","3384740918",NA
31.769268,-106.5062,"Papilionidae","Papilio polibetes",2020,3,19,"iNaturalist research-grade observations","2620080887",NA
31.769201,-106.506234,"Papilionidae","Papilio multicaudata",2020,5,1,"iNaturalist research-grade observations","2620141671",NA
31.769056,-106.50601,"Papilionidae","Papilio multicaudata",2018,4,17,"iNaturalist research-grade observations","1838375861",NA
31.769108,-106.506168,"Papilionidae","Papilio rumiko",2018,9,12,"iNaturalist research-grade observations","1948743587",NA
31.769394,-106.506509,"Papilionidae","Battus philenor",2016,9,27,"iNaturalist research-grade observations","1323013775",NA
31.769194,-106.506177,"Papilionidae","Battus philenor",2016,9,20,"iNaturalist research-grade observations","1453139980",NA
31.769196,-106.506277,"Papilionidae","Battus philenor",2016,10,3,"iNaturalist research-grade observations","1323027723",NA
31.76945,-106.506287,"Papilionidae","Battus philenor",2015,9,10,"iNaturalist research-grade observations","1144279360",NA
31.769462,-106.506172,"Papilionidae","Battus philenor",2015,9,10,"iNaturalist research-grade observations","1211991177",NA
31.769323,-106.506357,"Pieridae","Nathalis iole",2022,4,6,"iNaturalist research-grade observations","3764117994",NA
31.769263,-106.506317,"Pieridae","Abaeis nicippe",2021,7,6,"iNaturalist research-grade observations","3325815258",NA
31.769317,-106.506307,"Pieridae","Abaeis nicippe",2021,9,9,"iNaturalist research-grade observations","3383962272",NA
31.769373,-106.506311,"Pieridae","Abaeis nicippe",2021,9,13,"iNaturalist research-grade observations","3383978789",NA
31.769316,-106.50633,"Pieridae","Abaeis nicippe",2021,9,9,"iNaturalist research-grade observations","3383990891",NA
31.769679,-106.506129,"Pieridae","Pontia protodice",2021,9,15,"iNaturalist research-grade observations","3384314120",NA
31.769323,-106.506328,"Pieridae","Abaeis nicippe",2021,9,9,"iNaturalist research-grade observations","3384327280",NA
31.769295,-106.506378,"Pieridae","Phoebis sennae",2021,9,13,"iNaturalist research-grade observations","3384336938",NA
31.769267,-106.506325,"Pieridae","Pontia protodice",2021,9,9,"iNaturalist research-grade observations","3384675117",NA
31.76923,-106.506395,"Pieridae","Abaeis nicippe",2021,9,13,"iNaturalist research-grade observations","3384942812",NA
31.769255,-106.5063,"Pieridae","Pontia protodice",2021,9,9,"iNaturalist research-grade observations","3384955346",NA
31.769258,-106.506295,"Pieridae","Abaeis nicippe",2021,9,7,"iNaturalist research-grade observations","3384985845",NA
31.769191,-106.506181,"Pieridae","Phoebis sennae",2016,9,12,"iNaturalist research-grade observations","3784959304",NA
31.76908,-106.506203,"Pieridae","Phoebis sennae",2016,10,6,"iNaturalist research-grade observations","1453139064",NA
